config_label,tile_width,tile_height,min_active_pixels,mean_coverage_efficiency,mean_active_tiles,mean_sparse_ms,sparse_top1_acc,dense_masked_top1_acc,dense_unmasked_top1_acc
"w=14, h=14, minpix=1",14,14,1,0.6928451000997251,108.94248,9.10530701450545,43.342,43.342,66.82
"w=14, h=15, minpix=1",14,15,1,0.685388708565313,106.66814,9.115510288328405,43.346,43.342,66.82
"w=14, h=16, minpix=1",14,16,1,0.6801592200306982,100.9638,9.341296522539743,43.342,43.342,66.82
"w=14, h=17, minpix=1",14,17,1,0.6621122801415356,98.91584,9.326604785857343,43.346,43.342,66.82
"w=14, h=18, minpix=1",14,18,1,0.6593280815417937,96.41834,8.48206015316835,43.342,43.342,66.82
"w=15, h=14, minpix=1",15,14,1,0.685408428894585,106.06672,8.985638023613864,43.344,43.342,66.82
"w=15, h=15, minpix=1",15,15,1,0.6781131064435243,103.90088,11.556403851116556,43.336,43.342,66.82
"w=15, h=16, minpix=1",15,16,1,0.6729174960100537,98.3736,10.28084475983247,43.342,43.342,66.82
"w=15, h=17, minpix=1",15,17,1,0.6550439528901262,96.40744,10.56614309209668,43.342,43.342,66.82
"w=15, h=18, minpix=1",15,18,1,0.6523810136953963,94.01614,10.244517085788758,43.338,43.342,66.82
"w=16, h=14, minpix=1",16,14,1,0.679136280283252,100.71118,9.439341320065795,43.342,43.342,66.82
"w=16, h=15, minpix=1",16,15,1,0.6720939633050707,98.6651,10.315928418765543,43.342,43.342,66.82
"w=16, h=16, minpix=1",16,16,1,0.6669664836920361,93.50446,10.004949474432724,43.342,43.342,66.82
"w=16, h=17, minpix=1",16,17,1,0.6492080754272989,91.64338,9.17766434602483,43.338,43.342,66.82
"w=16, h=18, minpix=1",16,18,1,0.6466104765883751,89.37844,9.893259703024377,43.34,43.342,66.82
"w=17, h=14, minpix=1",17,14,1,0.664403167713037,98.21068,8.904966598410173,43.344,43.342,66.82
"w=17, h=15, minpix=1",17,15,1,0.6574974006884359,96.24794,10.26313259302806,43.336,43.342,66.82
"w=17, h=16, minpix=1",17,16,1,0.6523851832428933,91.22702,10.306091209043515,43.338,43.342,66.82
"w=17, h=17, minpix=1",17,17,1,0.6349610026886829,89.43732,10.352347005121047,43.344,43.342,66.82
"w=17, h=18, minpix=1",17,18,1,0.6325750612910854,87.26336,10.142148401375017,43.336,43.342,66.82
"w=18, h=14, minpix=1",18,14,1,0.6602782978387117,95.37684,10.030329974275592,43.342,43.342,66.82
"w=18, h=15, minpix=1",18,15,1,0.6534031357380357,93.52212,10.263353600915433,43.34,43.342,66.82
"w=18, h=16, minpix=1",18,16,1,0.6484986067206614,88.64452,9.583048179712787,43.34,43.342,66.82
"w=18, h=17, minpix=1",18,17,1,0.6311566590044368,86.93128,9.467876724031521,43.336,43.342,66.82
"w=18, h=18, minpix=1",18,18,1,0.6287935691037195,84.86148,9.437348305992781,43.342,43.342,66.82
"w=14, h=14, minpix=2",14,14,2,0.7018988141144041,108.0937,8.831598895762728,43.338,43.342,66.82
"w=14, h=15, minpix=2",14,15,2,0.6941881029552497,105.82396,9.650417620671652,43.31,43.342,66.82
"w=14, h=16, minpix=2",14,16,2,0.6886862439088005,100.20222,9.194438532971398,43.356,43.342,66.82
"w=14, h=17, minpix=2",14,17,2,0.6704579648722462,98.15978,8.719951544348733,43.372,43.342,66.82
"w=14, h=18, minpix=2",14,18,2,0.6675973760365931,95.67756,8.565857661606861,43.314,43.342,66.82
"w=15, h=14, minpix=2",15,14,2,0.6942930330666708,105.23554,8.805600051120127,43.34,43.342,66.82
