tile_width,tile_height,min_active_pixels,num_images,sparse_ms,dense_masked_ms,dense_unmasked_ms,active_tiles,active_ratio,sparse_vs_dense_masked_mean_abs_diff,sparse_vs_dense_masked_max_abs_diff,dense_masked_vs_unmasked_mean_abs_diff,dense_masked_vs_unmasked_max_abs_diff,sparse_vs_unmasked_mean_abs_diff,sparse_vs_unmasked_max_abs_diff,sparse_top1_acc,sparse_top5_acc,dense_masked_top1_acc,dense_masked_top5_acc,dense_unmasked_top1_acc,dense_unmasked_top5_acc,sparse_vs_dense_masked_pred_agreement,dense_masked_vs_unmasked_pred_agreement,sparse_vs_unmasked_pred_agreement
14,14,1,50000,9.10530701450545,2.8766884615220625,1.9984630984220348,108.94248,0.6189913636363635,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
14,15,1,50000,9.115510288328405,2.669744919920049,1.834642147121376,106.66814,0.6060689772727272,2.1978336541876066e-06,0.006389349699020386,0.0010146127853428635,0.999259352684021,0.0010146872009869825,0.9992590546607971,43.346,63.774,43.342,63.78,66.82,87.514,99.866,48.346,48.356
14,16,1,50000,9.341296522539743,2.8975076588366937,2.0009552637025627,100.9638,0.63102375,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
14,17,1,50000,9.326604785857343,2.9113462303529016,2.013890389560147,98.91584,0.618224,2.192463358371266e-06,0.006663322448730469,0.0010146127853428635,0.999259352684021,0.0010146874860467552,0.9992597103118896,43.346,63.776,43.342,63.78,66.82,87.514,99.858,48.346,48.354
14,18,1,50000,8.48206015316835,2.6753318488824878,1.8413403291231225,96.41834,0.602614625,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
15,14,1,50000,8.985638023613864,2.673378220839877,1.8342429654029546,106.06672,0.6026518181818182,2.1984472276159737e-06,0.006389349699020386,0.0010146127853428635,0.999259352684021,0.0010146870278493773,0.999259352684021,43.344,63.776,43.342,63.78,66.82,87.514,99.858,48.346,48.354
15,15,1,50000,11.556403851116556,3.0576589089159096,2.1256243626404467,103.90088,0.5903459090909091,2.1942643428214525e-06,0.0059032142162323,0.0010146127853428635,0.999259352684021,0.0010146878923157658,0.9992597699165344,43.336,63.774,43.342,63.78,66.82,87.514,99.846,48.346,48.354
15,16,1,50000,10.28084475983247,2.8436885319517753,1.9679520230220806,98.3736,0.614835,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
15,17,1,50000,10.56614309209668,2.9258387426465924,2.025014637092099,96.40744,0.6025465,2.192842279398419e-06,0.005738168954849243,0.0010146127853428635,0.999259352684021,0.0010146891670888207,0.9992597103118896,43.342,63.77,43.342,63.78,66.82,87.514,99.846,48.346,48.356
15,18,1,50000,10.244517085788758,2.894863325891638,1.9991200007222505,94.01614,0.587600875,2.192000759813488e-06,0.006206303834915161,0.0010146127853428635,0.999259352684021,0.001014688248882694,0.9992596507072449,43.338,63.768,43.342,63.78,66.82,87.514,99.856,48.346,48.358
16,14,1,50000,9.439341320065795,2.9449835103300575,2.0347158255849354,100.71118,0.6294448749999999,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
16,15,1,50000,10.315928418765543,2.866591197505622,1.9787735097369294,98.6651,0.616656875,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
16,16,1,50000,10.004949474432724,2.908376857947733,2.0140100344880194,93.50446,0.640441506849315,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
16,17,1,50000,9.17766434602483,2.6289489586826678,1.8004115670100873,91.64338,0.6276943835616439,6.407914228731662e-07,0.0018768012523651123,0.0010146127853428635,0.999259352684021,0.00101461343520658,0.9992594718933105,43.338,63.778,43.342,63.78,66.82,87.514,99.938,48.346,48.352
16,18,1,50000,9.893259703024377,2.923187799335792,2.0213067319553373,89.37844,0.6121810958904109,4.288214978141802e-08,0.0014393329620361328,0.0010146127853428635,0.999259352684021,0.00101461278526691,0.999259352684021,43.34,63.78,43.342,63.78,66.82,87.514,99.992,48.346,48.344
17,14,1,50000,8.904966598410173,2.7756282315029965,1.9077644855496327,98.21068,0.61381675,2.193377012644624e-06,0.006471782922744751,0.0010146127853428635,0.999259352684021,0.0010146838039547796,0.9992591142654419,43.344,63.772,43.342,63.78,66.82,87.514,99.86,48.346,48.354
17,15,1,50000,10.26313259302806,2.838776850538343,1.9576015122389072,96.24794,0.601549625,2.195187560187297e-06,0.005873352289199829,0.0010146127853428635,0.999259352684021,0.0010146868580445166,0.9992594718933105,43.336,63.772,43.342,63.78,66.82,87.514,99.848,48.346,48.344
17,16,1,50000,10.306091209043515,3.0002884741570597,2.080430134034832,91.22702,0.624842602739726,6.440752378679348e-07,0.0018628835678100586,0.0010146127853428635,0.999259352684021,0.0010146134230759767,0.9992594122886658,43.338,63.772,43.342,63.78,66.82,87.514,99.942,48.346,48.346
17,17,1,50000,10.352347005121047,2.9742960983911324,2.0662860776453456,89.43732,0.6125843835616438,2.1953922308751284e-06,0.006510913372039795,0.0010146127853428635,0.999259352684021,0.0010146851328784192,0.9992592334747314,43.344,63.776,43.342,63.78,66.82,87.514,99.856,48.346,48.356
17,18,1,50000,10.142148401375017,2.9836999170852505,2.069355000941141,87.26336,0.5976942465753424,2.1930590182651e-06,0.006042122840881348,0.0010146127853428635,0.999259352684021,0.0010146854581009688,0.9992595314979553,43.336,63.772,43.342,63.78,66.82,87.514,99.852,48.346,48.35
18,14,1,50000,10.030329974275592,3.252295473142076,2.270507240039369,95.37684,0.5961052499999999,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
18,15,1,50000,10.263353600915433,2.906247786906606,2.011983559395594,93.52212,0.58451325,2.1934481868802334e-06,0.0066314637660980225,0.0010146127853428635,0.999259352684021,0.0010146840736528057,0.9992594122886658,43.34,63.772,43.342,63.78,66.82,87.514,99.856,48.346,48.356
18,16,1,50000,9.583048179712787,2.8297507260474957,1.9564684100727028,88.64452,0.6071542465753424,4.1914225865999077e-08,0.0009140372276306152,0.0010146127853428635,0.999259352684021,0.0010146131224684839,0.9992594718933105,43.34,63.778,43.342,63.78,66.82,87.514,99.992,48.346,48.348
18,17,1,50000,9.467876724031521,2.7808056580854466,1.9155568984423008,86.93128,0.5954197260273972,2.1860008141543875e-06,0.006097674369812012,0.0010146127853428635,0.999259352684021,0.00101468527539821,0.9992595911026001,43.336,63.776,43.342,63.78,66.82,87.514,99.85,48.346,48.35
18,18,1,50000,9.437348305992781,2.8474396165712097,1.9678048097045393,84.86148,0.5812430136986302,0.0,0.0,0.0010146127853428635,0.999259352684021,0.0010146127853428635,0.999259352684021,43.342,63.78,43.342,63.78,66.82,87.514,100.0,48.346,48.346
14,14,2,50000,8.831598895762728,2.8008670554336277,1.9341296487879298,108.0937,0.61416875,1.1933263515268492e-05,0.13325077295303345,0.0010146127853428635,0.999259352684021,0.0010146591895618298,0.9992643594741821,43.338,63.78,43.342,63.78,66.82,87.514,99.116,48.346,48.326
14,15,2,50000,9.650417620671652,2.8616611273851595,1.9718708520154178,105.82396,0.6012725,1.3033457245195796e-05,0.13330131769180298,0.0010146127853428635,0.999259352684021,0.0010147505518108178,0.9992695450782776,43.31,63.77,43.342,63.78,66.82,87.514,99.006,48.346,48.338
14,16,2,50000,9.194438532971398,2.8726602946150526,1.9849240765061404,100.20222,0.626263875,1.0857113503090047e-05,0.13325077295303345,0.0010146127853428635,0.999259352684021,0.0010146597312844761,0.9992643594741821,43.356,63.748,43.342,63.78,66.82,87.514,99.098,48.346,48.336
14,17,2,50000,8.719951544348733,2.691602744535485,1.8461493563892146,98.15978,0.6134986250000001,1.2179356891827289e-05,0.10775822401046753,0.0010146127853428635,0.999259352684021,0.0010147213873088867,0.999264657497406,43.372,63.798,43.342,63.78,66.82,87.514,99.018,48.346,48.36
14,18,2,50000,8.565857661606861,2.715685752350837,1.8660278124673642,95.67756,0.59798475,1.0565213875656258e-05,0.14396482706069946,0.0010146127853428635,0.999259352684021,0.0010146469937560181,0.9992523789405823,43.314,63.782,43.342,63.78,66.82,87.514,99.138,48.346,48.326
15,14,2,50000,8.805600051120127,2.627680983178725,1.796581592819566,105.23554,0.5979292045454545,1.2640258271985774e-05,0.1286250352859497,0.0010146127853428635,0.999259352684021,0.0010146593816163457,0.9992616176605225,43.34,63.758,43.342,63.78,66.82,87.514,99.012,48.346,48.358
15,15,2,50000,9.758459012438106,2.582367534785444,1.7622302386909723,103.07118,0.5856317045454545,1.262212481095542e-05,0.13354024291038513,0.0010146127853428635,0.999259352684021,0.0010146800614950053,0.9992709755897522,43.34,63.726,43.342,63.78,66.82,87.514,98.972,48.346,48.328
15,16,2,50000,9.776546112359647,2.7202389963302993,1.8716605094715488,97.6244,0.6101525,1.0575815183874341e-05,0.12193599343299866,0.0010146127853428635,0.999259352684021,0.001014593242324317,0.9992710947990417,43.33,63.74,43.342,63.78,66.82,87.514,99.11,48.346,48.348
